question,sql
"Show all pending apprentices with unit and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Count apprentices by unit for pending status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='pending' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all dropped apprentices with unit and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Count apprentices by unit for dropped status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='dropped' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all active interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Count interns by function for active status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='active' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all completed interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"Count interns by function for completed status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='completed' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all pending interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Count interns by function for pending status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='pending' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all dropped interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Count interns by function for dropped status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='dropped' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all active trainees with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Count trainees by function for active status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='active' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all completed trainees with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"Count trainees by function for completed status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='completed' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all pending trainees with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Count trainees by function for pending status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='pending' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all dropped trainees with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Count trainees by function for dropped status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='dropped' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all active student interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Count student interns by function for active status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='active' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all completed student interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"Count student interns by function for completed status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='completed' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all pending student interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Count student interns by function for pending status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='pending' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all dropped student interns with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Count student interns by function for dropped status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='dropped' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all active apprentices with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Count apprentices by function for active status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='active' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all completed apprentices with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"Count apprentices by function for completed status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='completed' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all pending apprentices with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Count apprentices by function for pending status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='pending' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all dropped apprentices with function and institute names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Count apprentices by function for dropped status.","SELECT d.name AS department, COUNT(i.id) AS intern_count FROM departments d LEFT JOIN interns i ON i.department_id=d.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE d.deleted_at IS NULL AND s.status='dropped' GROUP BY d.name ORDER BY intern_count DESC, d.name;"
"Show all active interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"How many interns does each university have when current stage is active?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='active' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all completed interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"How many interns does each university have when current stage is completed?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='completed' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all pending interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"How many interns does each university have when current stage is pending?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='pending' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all dropped interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"How many interns does each university have when current stage is dropped?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='dropped' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all active trainees with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"How many trainees does each university have when current stage is active?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='active' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all completed trainees with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"How many trainees does each university have when current stage is completed?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='completed' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all pending trainees with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"How many trainees does each university have when current stage is pending?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='pending' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all dropped trainees with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"How many trainees does each university have when current stage is dropped?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='dropped' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all active student interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"How many student interns does each university have when current stage is active?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='active' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all completed student interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"How many student interns does each university have when current stage is completed?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='completed' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all pending student interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"How many student interns does each university have when current stage is pending?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='pending' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all dropped student interns with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"How many student interns does each university have when current stage is dropped?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='dropped' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all active apprentices with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"How many apprentices does each university have when current stage is active?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='active' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all completed apprentices with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"How many apprentices does each university have when current stage is completed?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='completed' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all pending apprentices with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"How many apprentices does each university have when current stage is pending?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='pending' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all dropped apprentices with department and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"How many apprentices does each university have when current stage is dropped?","SELECT ins.name AS institute, COUNT(i.id) AS intern_count FROM institutes ins LEFT JOIN interns i ON i.institute_id=ins.id AND i.deleted_at IS NULL LEFT JOIN internship_status s ON s.id=i.status_id WHERE ins.deleted_at IS NULL AND s.status='dropped' GROUP BY ins.name ORDER BY intern_count DESC, ins.name;"
"Show all active interns with division and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Show all completed interns with division and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
"Show all pending interns with division and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='pending' ORDER BY i.created_at DESC;"
"Show all dropped interns with division and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='dropped' ORDER BY i.created_at DESC;"
"Show all active trainees with division and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='active' ORDER BY i.created_at DESC;"
"Show all completed trainees with division and university names plus email.","SELECT i.id, i.name, u.email, d.name AS department, ins.name AS institute, s.status, i.start_date, i.end_date FROM interns i JOIN users u ON u.id=i.user_id LEFT JOIN departments d ON d.id=i.department_id LEFT JOIN institutes ins ON ins.id=i.institute_id LEFT JOIN internship_status s ON s.id=i.status_id WHERE i.deleted_at IS NULL AND s.status='completed' ORDER BY i.created_at DESC;"
